idxYear, Jan, Feb, Marc, P
78,1889 -0.294 -0.005 -0.079 -0.082 -0.158 -0.216 -0.291 -0.315 -0.349 -0.361 -0.509 -0.346 -0.250
80,1890 -0.516 -0.449 -0.616 -0.492 -0.529 -0.485 -0.486 -0.469 -0.477 -0.437 -0.667 -0.381 -0.500
82,1891 -0.574 -0.593 -0.356 -0.438 -0.334 -0.365 -0.400 -0.361 -0.261 -0.334 -0.530 -0.223 -0.398
84,1892 -0.472 -0.288 -0.522 -0.537 -0.452 -0.432 -0.590 -0.511 -0.387 -0.437 -0.662 -0.789 -0.507
86,1893 -1.040 -0.846 -0.421 -0.508 -0.570 -0.453 -0.253 -0.295 -0.369 -0.305 -0.402 -0.477 -0.495
88,1894 -0.630 -0.419 -0.498 -0.523 -0.514 -0.580 -0.398 -0.355 -0.440 -0.399 -0.451 -0.538 -0.479
90,1895 -0.636 -0.632 -0.610 -0.448 -0.469 -0.421 -0.338 -0.374 -0.388 -0.314 -0.312 -0.360 -0.442
92,1896 -0.314 -0.329 -0.580 -0.529 -0.347 -0.224 -0.185 -0.173 -0.155 -0.117 -0.308 -0.083 -0.279
94,1897 -0.290 -0.338 -0.410 -0.109 -0.121 -0.170 -0.190 -0.183 -0.176 -0.206 -0.410 -0.453 -0.255
96,1898 -0.185 -0.544 -0.833 -0.660 -0.548 -0.334 -0.391 -0.395 -0.360 -0.476 -0.495 -0.467 -0.474
98,1899 -0.344 -0.528 -0.563 -0.418 -0.358 -0.507 -0.364 -0.237 -0.143 -0.176 -0.047 -0.448 -0.344
100,1900 -0.481 -0.192 -0.199 -0.225 -0.301 -0.223 -0.210 -0.210 -0.193 -0.058 -0.257 -0.213 -0.230
102,1901 -0.264 -0.258 -0.180 -0.165 -0.234 -0.256 -0.346 -0.211 -0.356 -0.336 -0.374 -0.466 -0.287
104,1902 -0.425 -0.224 -0.456 -0.444 -0.435 -0.450 -0.411 -0.431 -0.373 -0.497 -0.554 -0.549 -0.437
106,1903 -0.423 -0.235 -0.406 -0.590 -0.514 -0.549 -0.511 -0.611 -0.571 -0.674 -0.631 -0.708 -0.535
108,1904 -0.797 -0.767 -0.694 -0.645 -0.611 -0.569 -0.559 -0.484 -0.600 -0.553 -0.392 -0.494 -0.597
110,1905 -0.457 -0.715 -0.519 -0.558 -0.434 -0.345 -0.376 -0.306 -0.347 -0.334 -0.215 -0.264 -0.406
112,1906 -0.285 -0.377 -0.282 -0.100 -0.372 -0.229 -0.346 -0.272 -0.352 -0.320 -0.531 -0.317 -0.315
114,1907 -0.516 -0.615 -0.427 -0.472 -0.637 -0.539 -0.431 -0.493 -0.400 -0.332 -0.548 -0.583 -0.499
116,1908 -0.452 -0.406 -0.697 -0.581 -0.438 -0.409 -0.396 -0.481 -0.383 -0.568 -0.638 -0.630 -0.507
118,1909 -0.755 -0.533 -0.651 -0.630 -0.589 -0.507 -0.528 -0.328 -0.407 -0.490 -0.384 -0.592 -0.533
120,1910 -0.417 -0.505 -0.602 -0.525 -0.523 -0.552 -0.442 -0.391 -0.418 -0.477 -0.668 -0.745 -0.522
122,1911 -0.656 -0.706 -0.765 -0.642 -0.641 -0.560 -0.497 -0.510 -0.501 -0.352 -0.343 -0.303 -0.540
124,1912 -0.326 -0.312 -0.557 -0.338 -0.335 -0.290 -0.510 -0.580 -0.646 -0.685 -0.556 -0.577 -0.476
126,1913 -0.546 -0.540 -0.601 -0.523 -0.548 -0.546 -0.487 -0.400 -0.418 -0.442 -0.362 -0.150 -0.464
128,1914 -0.071 -0.255 -0.392 -0.401 -0.309 -0.311 -0.298 -0.245 -0.302 -0.110 -0.182 -0.238 -0.259
130,1915 -0.284 -0.213 -0.195 -0.086 -0.177 -0.174 -0.177 -0.064 -0.112 -0.282 -0.170 -0.352 -0.191
132,1916 -0.336 -0.265 -0.435 -0.381 -0.427 -0.498 -0.386 -0.297 -0.325 -0.372 -0.509 -0.812 -0.420
134,1917 -0.692 -0.716 -0.780 -0.544 -0.641 -0.478 -0.257 -0.339 -0.303 -0.533 -0.455 -0.787 -0.544
136,1918 -0.519 -0.677 -0.582 -0.627 -0.527 -0.389 -0.371 -0.444 -0.274 -0.117 -0.169 -0.417 -0.426
138,1919 -0.243 -0.236 -0.394 -0.209 -0.312 -0.370 -0.321 -0.258 -0.294 -0.272 -0.561 -0.519 -0.332
140,1920 -0.275 -0.545 -0.169 -0.342 -0.260 -0.253 -0.318 -0.234 -0.205 -0.222 -0.339 -0.492 -0.304
142,1921 -0.230 -0.295 -0.348 -0.294 -0.300 -0.159 -0.152 -0.317 -0.197 -0.129 -0.194 -0.280 -0.241
144,1922 -0.418 -0.406 -0.330 -0.295 -0.468 -0.297 -0.264 -0.354 -0.317 -0.347 -0.254 -0.308 -0.338
146,1923 -0.404 -0.488 -0.460 -0.408 -0.401 -0.260 -0.414 -0.321 -0.334 -0.168 -0.025 -0.092 -0.315
148,1924 -0.328 -0.310 -0.177 -0.338 -0.212 -0.270 -0.296 -0.314 -0.325 -0.359 -0.283 -0.490 -0.309
150,1925 -0.484 -0.474 -0.374 -0.301 -0.307 -0.340 -0.337 -0.166 -0.254 -0.283 -0.052  0.019 -0.280
152,1926  0.082 -0.037  0.021 -0.160 -0.267 -0.181 -0.209 -0.102 -0.118 -0.069 -0.110 -0.317 -0.122
154,1927 -0.310 -0.206 -0.408 -0.316 -0.231 -0.250 -0.211 -0.207 -0.109 -0.021 -0.120 -0.320 -0.226
156,1928 -0.025 -0.123 -0.318 -0.236 -0.302 -0.332 -0.190 -0.177 -0.207 -0.187 -0.172 -0.232 -0.208
